author;year;database;citation_ori;citation;BibTeX_reference;Name;mail;Authors;Collaborators;DOI;url;Title;Publisher;Type;Journal;More info
Baeten;2010;PR;Baeten et al. 2010;Baeten et al. 2010;BaetenEtAl2010;Lander Baeten;Lander Baeten;Baeten, L.;Darline Velghe, Margot Vanhellemont, Pieter De Frenne, Martin Hermy, Kris Verheyen;https://doi.org/10.1111/j.1526-100x.2009.00627.x;https://onlinelibrary.wiley.com/doi/10.1111/j.1526-100X.2009.00627.x;Early trajectories of spontaneous vegetation recovery after intensive agricultural land use;Wiley;Journal Article;Restoration Ecology;
Baeten;2010;PR;Baeten et al. 2010a;Baeten et al. 2010a;BaetenEtAl2010a;Lander Baeten;lander.baeten@ugent.be;Baeten, Lander;Martin Hermy, Sander Van Daele, Kris Verheyen;https://doi.org/10.1111/j.1365-2745.2010.01711.x;https://besjournals.onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2010.01711.x;Unexpected understorey community development after 30 years in ancient and post-agricultural forests;wiley;Journal Article;Journal of Ecology;
Berry;2010;PR;Berry et al. 2010;Berry et al. 2010;BerryEtAl2010;Nicholas J. Berry;Nicholas J. Berry;Berry, N. J.;Oliver L. Phillips, Simon L. Lewis, Jane K. Hill, David P. Edwards, Noel B. Tawatao, Norhayati Ahmad, David Magintan, Chey V. Khen, M. Maryati, Robert C. Ong & Keith C. Hamer ;https://doi.org/10.1007/s10531-010-9779-z;http://link.springer.com/content/pdf/10.1007/s10531-010-9779-z.pdf;The high value of logged tropical forests: lessons from northern Borneo;Springer Science and Business Media LLC;Journal Article;Biodiversity and Conservation;
Brearley;2011;PR;Brearley 2011;Brearley 2011;Brearley2011;Francis Q. Brearley;Francis Q. Brearley;Brearley, Francis Q.;;https://doi.org/10.1017/s0266467411000149;https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0266467411000149;Below-ground secondary succession in tropical forests of Borneo;Cambridge University Press (CUP);Journal Article;Journal of Tropical Ecology;
Calvino-Cancela;2012;PR;Calvino-Cancela et al. 2012;Calvino-Cancela et al. 2012;CalvinoCancelaEtAl2012;María Calviño-Cancela;María Calviño-Cancela;Calvino-Cancela, Maria;Margarita Rubido-Bará ,Eddie J.B. van Etten;https://doi.org/10.1016/j.foreco.2012.01.019;https://www.sciencedirect.com/science/article/abs/pii/S0378112712000291;Do eucalypt plantations provide habitat for native forest biodiversity?;Elsevier BV;Journal Article;Forest Ecology and Management;
Carvalho;2010;PR;Carvalho et al. 2010;Carvalho et al. 2010;CarvalhoEtAl2010;Anelena Carvalho;https://www.researchgate.net/profile/Anelena-Carvalho;Calvino-Cancela, Maria;Evandro José Linhares Ferreira, Joanna Marie Tucker Lima;https://doi.org/10.1590/S0044-59672010000400004;https://www.researchgate.net/publication/262502592_Floristic_and_structural_comparisons_among_palm_communities_in_primary_and_secondary_forest_fragments_of_the_Raimundo_Irineu_Serra_Environmental_Protection_Area_-_Rio_Branco_Acre_Brazil;Floristic and structural comparisons among palm communities in primary and secondary forest fragments of the Raimundo Irineu Serra Environmental Protection Area - Rio Branco, Acre, Brazil;scielo;Journal Article;Acta Amazonica;
Castro;2010;PR;Castro et al. 2010;Castro et al. 2010;CastroEtAl2010;Helena Castro;Helena Castro;Castro, Helena;Veiko Lehsten b 1, Sandra Lavorel c, Helena Freitas a;https://doi.org/10.1016/j.agee.2010.02.002;https://www.sciencedirect.com/science/article/abs/pii/S0167880910000368;Functional response traits in relation to land use change in the Montado;Elsevier BV;Journal Article;Agriculture Ecosystems & Environment;
Fredriksson;2007;PR;Fredriksson et al. 2007;Fredriksson et al. 2007;FredrikssonEtAl2007;G. M. Fredriksson;gmfred@indo.net.id;Fredriksson, G. M.;L. S. Danielsen & J. E. Swenson ;https://doi.org/10.1007/978-1-4020-6444-9_16;https://link.springer.com/chapter/10.1007/978-1-4020-6444-9_16;Impacts of El Nino related drought and forest fires on sun bear fruit resources in lowland dipterocarp forest of East Borneo;Springer Science and Business Media LLC;Journal Article;Biodiversity and Conservation;
Hylander and Weibull;2012;PR;Hylander and Weibull 2012;Hylander and Weibull 2012;HylanderAndWeibull2012;Kristoffer Hylander;kristoffer.hylander@botan.su.se;Hylander, K.;Henrik Weibull;https://doi.org/10.1111/j.1365-2664.2012.02218.x;https://besjournals.onlinelibrary.wiley.com/doi/10.1111/j.1365-2664.2012.02218.x;Do time-lagged extinctions and colonizations change the interpretation of buffer strip effectiveness? - a study of riparian bryophytes in the first decade after logging;British Ecological Society;Journal Article;Journal of Applied Ecology;
Katovai;2012;PR;Katovai et al. 2012;Katovai et al. 2012;KatovaiEtAl2012;Eric Katovai ;Eric Katovai ;Katovai, E.;Alana L. Burley, Margaret M. Mayfield;https://doi.org/10.1016/j.biocon.2011.11.008;https://api.elsevier.com/content/article/PII:S0006320711004228?httpAccept=text/xml;Understory plant species and functional diversity in the degraded wet tropical forests of Kolombangara Island, Solomon Islands;Elsevier BV;Journal Article;Biological Conservation;
