"id_comm";"id_study"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p10_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p11_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p12_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p13_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p14_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p15_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p16_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p17_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p18_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p19_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p1_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p20_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p21_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p22_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p23_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p24_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p25_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p26_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p27_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p28_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p29_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p2_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p30_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p31_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p32_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
"Baeten et al. 2010_Baeten Belgium vegetation recovery_p33_NA";"PR_Baeten et al. 2010_Baeten Belgium vegetation recovery"
