"id_study";"age";"family";"count"
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Myrtaceae";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Myrtaceae";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Myrtaceae";4
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Myrtaceae";4
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Cunoniaceae";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Myrtaceae";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"70";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Cunoniaceae";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"11";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Oleaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"112";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Myrtaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Oleaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"129";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Myrtaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"133";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Myrtaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Oleaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"134";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Myrtaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Oleaceae";2
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"199";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Myrtaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"2";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"40";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Myrtaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Seedlings random plots or quadrats";"70";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"11";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"11";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"11";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Cunoniaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"112";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Myrtaceae";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"129";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Myrtaceae";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"133";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Araliaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"134";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Atherospermataceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Cunoniaceae";2
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Elaeocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Myrtaceae";3
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Nothofagaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Oleaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Podocarpaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Proteaceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"199";"Winteraceae";1
"CU_Aravena et al. 2002_1 1A Trees (5 cm dbh) random plots or quadrats";"2";"Myrtaceae";1
