"id_study";"age";"order";"count"
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Apiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"11";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"112";"Proteales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"129";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Laurales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Oxalidales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"133";"Proteales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Apiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Laurales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Myrtales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Oxalidales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"134";"Proteales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Laurales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Myrtales";4
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Oxalidales";2
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"199";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Myrtales";4
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"2";"Pinales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Apiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Canellales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Fagales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Lamiales";1
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Myrtales";3
"CU_Aravena et al. 2002_1 1A Saplings random plots or quadrats";"40";"Oxalidales";2
