citation_ori;citation;database;doi;
Baeten et al. 2010;Baeten 2010;PR;;
Baeten et al. 2010a;Baeten 2010a;PR;;
Berry et al. 2010;Berry 2010;PR;;
Brearley 2011;Brearley 2011;PR;;
Calvino-Cancela et al. 2012;Calvino-Cancela 2012;PR;;
Carvalho et al. 2010;Carvalho 2010;PR;;
Castro et al. 2010;Castro 2010;PR;;
Fredriksson et al. 2007;Fredriksson 2007;PR;;
Hylander and Weibull 2012;Hylander and Weibull 2012;PR;;
Katovai et al. 2012;Katovai 2012;PR;;
Letcher and Chazdon 2009;Letcher and Chazdon 2009;PR;;
Lopez-Quintero et al. 2012;Lopez-Quintero 2012;PR;;
McNamara et al. 2012;McNamara 2012;PR;;
Noske et al. 2008;Noske 2008;PR;;
Sheil et al. 2002;Sheil 2002;PR;;
Svenning 1998;Svenning 1998;PR;;
Aravena et al. 2002;Aravena 2002;CU;;
Buckney and Morrison 1992;Buckney and Morrison 1992;CU;;
Chapman et al. 1997;Chapman 1997;CU;;
Eilu and Obua 2005;Eilu and Obua 2005;CU;;
Fang and Peng 1997;Fang and Peng 1997;CU;;
Fukushima et al. 2008;Fukushima 2008;CU;;
Gillison et al. 2003;Gillison 2003;CU;;
Grau et al. 1997;Grau 1997;CU;;
Ishida et al. 2005;Ishida 2005;CU;;
Kennard 2002;Kennard 2002;CU;;
Li et al. 2011;Li 2011;CU;;
Liebsch et al. 2008, Liebsch et al. 2007;Liebsch 2008, Liebsch 2007;CU;;
Parrotta and Knowles 2001;Parrotta and Knowles 2001;CU;;
Pascarella et al. 2000;Pascarella 2000;CU;;
Powers et al. 2009;Powers 2009;CU;;
Purata 1986;Purata 1986;CU;;
Selmants and Knight 2003;Selmants and Knight 2003;CU;;
Stark et al. 2006;Stark 2006;CU;;
Aubin 2009;Aubin 2009;RU;;
Bruelheide 2011;Bruelheide 2011;RU;;
Chan 2016;Chan 2016;RU;;
Dalling 1998;Dalling 1998;RU;;
Davidson 2007;Davidson 2007;RU;;
DeWalt 2003;DeWalt 2003;RU;;
Dent 2013;Dent 2013;RU;;
Dungan 2001;Dungan 2001;RU;;
Goebel 1996;Goebel 1996;RU;;
Leiva 2009;Leiva 2009;RU;;
Lu 2014;Lu 2014;RU;;
Marin-Spiotta 2007;Marin-Spiotta 2007;RU;;
Moola and Vasseur 2004;Moola and Vasseur 2004;RU;;
Muniz-Castro 2011;Muniz-Castro 2011;RU;;
Plue 2010;Plue 2010;RU;;
Williams 2000;Williams 2000;RU;;
Zhu 2009;Zhu 2009;RU;;
Addo-Fordjour 2019;Addo-Fordjour 2019;RU;;
Lopez-Jimenez 2019;Lopez-Jimenez 2019;RU;;
Webb and Sah 2003;Webb and Sah 2003;HU;;10.1016/S0378-1127(02)00272-4
Upadhaya et al. 2015;Upadhaya 2015;HU;;
