Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?;Author;Year;reference
Abbot et al. (2003);Cockroaches, grasshoppers, crickets and spiders;Transition;AA;Australia;-34.115;116.369;270;15;1;no;Abbot;2003;Abbott, I., T. Burbidge, K. Strehlow, A. Mellican, and A. Wills. 2003. Logging and burning impacts on cockroaches, crickets and grasshoppers, and spiders in Jarrah forest, Western Australia. Forest Ecology and Management 174:383–399.
Aerts et al. (2008);Birds;Broadleaf;AT;Ethiopia;13.617;39.350;1900;5;10;yes;Aerts;2008;Aerts, R., F. Lerouge, E. November, L. Lens, M. Hermy, and B. Muys. 2008. Land rehabilitation and the conservation of birds in a degraded Afromontane landscape in northern Ethiopia. Biodiversity and Conservation 17:53–69.
Aidar et al. (2001);Plants;Broadleaf;NT;Brazil;-24.529;-48.686;550;2;1;no;Aidar;2001;Aidar, M. P., J. R. Godoy, J. Bergmann, and C. A. Joly. 2001. Atlantic Forest succession over calcareous soil, Parque Estadual Turístico do Alto Ribeira-PETAR, SP. Revista Brasileira de Botânica 24:455–469.
Andersen (1993);Ants;Transition;AA;Australia;-12.670;132.830;30;6;2;yes;Andersen;1993;Andersen, A. N. 1993. Ants as Indicators of Restoration Success at a Uranium Mine in Tropical Australia. Restoration Ecology 1:156–167.
Andersen and Nelson (1999);NVSM;Transition;NA;United States;34.279;-114.121;120;2;1;no;Andersen and Nelson;1999;Andersen, A. N., J. A. Ludwig, L. M. Lowe, and D. C. F. Rentz. 2001. Grasshopper biodiversity and bioindicators in Australian tropical savannas: responses to disturbance in Kakadu National Park. Austral Ecology 26:213–222.
Andersen et al. (2001);Grasshoppers;Open;AA;Australia;-12.853;132.587;20;10;10;no;Andersen;2001;Andersen, D. C., and S. M. Nelson. 1999. Rodent use of anthropogenic and “natural” desert riparian habitat, lower Colorado River, Arizona. Regulated Rivers: Research and Management 15:377–393.
Andrade and Rubio-Torgler (1994);Birds;Broadleaf;NT;Colombia;-1.236;-69.922;100;3;4;no;Andrade and Rubio-Torgler ;1994;Andrade, G. I., and H. Rubio-Torgler. 1994. Sustainable Use of the Tropical Rain Forest: Evidence from the Avifauna in a Shifting-Cultivation Habitat Mosaic in the Colombian Amazon. Conservation Biology 8:545–554.
Aravena et al. (2002);Plants;Broadleaf;NT;Chile;-43.122;-74.030;75;4;1;no;Aravena;2002;Aravena, J. C., M. R. Carmona, C. A. Perez, and J. J. Armesto. 2002. Changes in tree species richness, stand structure and soil properties in a successional chronosequence in northern Chiloe Island, Chile. Revista Chilena de Historia Natural 75:339–360.
Barlow et al. (2007a);Birds;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no;Barlow;2007;Barlow, J., T. A. Gardner, I. S. Araujo, T. C. Ávila-Pires, A. B. Bonaldo, J. E. Costa, M. C. Esposito, L. V. Ferreira, J. Hawes, M. I. M. Hernandez, M. S. Hoogmoed, R. N. Leite, N. F. Lo-Man-Hung, J. R. Malcolm, M. B. Martins, L. A. M. Mestre, R. Miranda-Santos, A. L. Nunes-Gutjahr, W. L. Overal, L. Parry, S. L. Peters, M. A. Ribeiro-Junior, M. N. F. da Silva, C. da Silva Motta, and C. A. Peres. 2007a. Quantifying the biodiversity value of tropical primary, secondary, and plantation forests. Proceedings of the National Academy of Sciences 104:18555–18560.
Barlow et al. (2007b);Butterflies;Broadleaf;NT;Brazil;-0.913;-52.561;70;5;5;no;Barlow;2007;Barlow, J., W. L. Overal, I. S. Araujo, T. A. Gardner, and C. A. Peres. 2007b. The value of primary, secondary and plantation forests for fruit-feeding butterflies in the Brazilian Amazon. Journal of Applied Ecology 44:1001–1012.
