author;year;database;citation_ori;citation;DOI;Name;mail;BibTeX_reference;Title;Type;Journal;Authors;Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. Data;;;;;;;;;;;;
Baeten;2010;PR;Baeten et al. 2010;Baeten 2010;;;;BaetenEtAl2010;Early trajectories of spontaneous vegetation recovery after intensive agricultural land use;Journal Article;Restoration Ecology;Baeten, L.;;;;;;;;;;;;;;;;;;;;;;;
Baeten;2010a;PR;Baeten et al. 2010a;Baeten 2010a;;;;BaetenEtAl2010a;Unexpected understorey community development after 30 years in ancient and post-agricultural forests;Journal Article;Journal of Ecology;Baeten, Lander;;;;;;;;;;;;;;;;;;;;;;;
Berry;2010;PR;Berry et al. 2010;Berry 2010;;;;BerryEtAl2010;The high value of logged tropical forests: lessons from northern Borneo;Journal Article;Biodiversity and Conservation;Berry, N. J.;;;;;;;;;;;;;;;;;;;;;;;
Brearley;2011;PR;Brearley 2011;Brearley 2011;10.1017/s0266467411000149;;;Brearley2011;Below-ground secondary succession in tropical forests of Borneo;Journal Article;Journal of Tropical Ecology;Brearley, Francis Q.;;;;;;;;;;;;;;;;;;;;;;;
Calvino-Cancela;2012;PR;Calvino-Cancela et al. 2012;Calvino-Cancela 2012;;;;CalvinoCancelaEtAl2012;Do eucalypt plantations provide habitat for native forest biodiversity?;Journal Article;Forest Ecology and Management;CalviÃ±o-Cancela, MarÃ­a;;;;;;;;;;;;;;;;;;;;;;;
Carvalho;2010;PR;Carvalho et al. 2010;Carvalho 2010;;;;CarvalhoEtAl2010;Floristic and structural comparisons among palm communities in primary and secondary forest fragments of the Raimundo Irineu Serra Environmental Protection Area - Rio Branco, Acre, Brazil;Journal Article;Acta Amazonica;Carvalho, A. L. de;;;;;;;;;;;;;;;;;;;;;;;
Castro;2010;PR;Castro et al. 2010;Castro 2010;;;;CastroEtAl2010;Functional response traits in relation to land use change in the Montado;Journal Article;Agriculture Ecosystems & Environment;Castro, Helena;;;;;;;;;;;;;;;;;;;;;;;
Fredriksson;2007;PR;Fredriksson et al. 2007;Fredriksson 2007;;;;FredrikssonEtAl2007;Impacts of El Nino related drought and forest fires on sun bear fruit resources in lowland dipterocarp forest of East Borneo;Journal Article;Biodiversity and Conservation;Fredriksson, G. M.;;;;;;;;;;;;;;;;;;;;;;;
Hylander and Weibull;2012;PR;Hylander and Weibull 2012;Hylander and Weibull 2012;;;;HylanderAndWeibull2012;Do time-lagged extinctions and colonizations change the interpretation of buffer strip effectiveness? - a study of riparian bryophytes in the first decade after logging;Journal Article;Journal of Applied Ecology;Hylander, K.;;;;;;;;;;;;;;;;;;;;;;;
Katovai;2012;PR;Katovai et al. 2012;Katovai 2012;;;;KatovaiEtAl2012;Understory plant species and functional diversity in the degraded wet tropical forests of Kolombangara Island, Solomon Islands;Journal Article;Biological Conservation;Katovai, E.;;;;;;;;;;;;;;;;;;;;;;;
