id;name;author;more info;year
1; UN Decade on Ecosystem Restoration;" www.decadeonrestoration.org.		";;
2; R Chazdon; P. Brancalion; Restoring forests as a means to many ends. Science 365 24â€“25 ;2019
3; COP26; Glasgow Leadersâ€™ Declaration on Forests and Land Use. https://ukcop26.org/glasgow-leaders-declaration-on;;2021
4; D P Edwards; G. R. Cerullo; S. Chomba T. A. Worthington A. P. Balmford R.L. Chazdon R. D. Harrison Upscaling tropical restoration to deliver environmental benefits and socially equitable outcomes. Curr. Biol. 31 R1326â€“R1341 ;2021
5; R Dave et al; Second Bonn Challenge progress report. Application of the Barometer in 2018. Gland; Switzerland: IUCN.â€ ;2019
6; 1 Trillion Trees campaign;https://www1torg;;
7; S Lewis; C. E. Wheeler; E. T. A. Mitchard A. Koch Regenerate natural forests to store carbon. Nature 568 25â€“28 ;2019
8; B W Griscom; J. Adams; P. W. Ellis R. A. Houghton G. Lomax D. A. MitevaW. H. Schlesinger D. Shoch J. V. SiikamÃ¤ki P. Smith P. Woodbury C.Zganjar A. Blackman J. Campari R. T. Conant C. Delgado P. Elias T. Gopalakrishna M. R. Hamsik M. Herrero J. Kiesecker E. Landis L. Laestadius S. M. Leavitt S. Minnemeyer S. Polasky P. Potapov F. E. Putz J. Sanderman M. Silvius E. Wollenberg J. Fargione Natural climate solutions. Proc. Natl. Acad. Sci. U.S.A. 114 11645â€“11650 ;2017
9; F Hua; X. Wang; X. Zheng B. Fisher L. Wang J. Zhu Y. Tang D. W. Yu D. S. Wilcove Opportunities for biodiversity gains under the worldâ€™s largest reforestation programme. Nat. Commun. 7 12717 ;2016
10; E Romijn; R. Coppus; V. De Sy M. Herold R. M. Roman-Cuesta L. Verchot Land restoration in Latin America and the Caribbean: An overview of recent ongoing and planned restoration initiatives and their potential for climate change mitigation. Forests 10 1â€“17 ;2019
11; Forest and Landscape Restoration;" http://www.forestlandscaperestoration.org.		";;
12; G Wang; J. L. Innes; J. Lei S. Dai S. W. Wu Ecology. Chinaâ€™s forestry reforms.Science 318 1556â€“1557 ;2007
13; J L Reid; M. E. Fagan; R. A. Zahawi Positive site selection bias in meta-analyses comparing natural regeneration to active forest restoration. Sci. Adv. 4 eaas9143 ;2018
14; E G Brockerhoff; H. Jactel; J. A. Parrotta C. P. Quine J. Sayer Plantation forests and biodiversity: Oxymoron or opportunity? Biodivers. Conserv. 17 925â€“951 ;2008
15; IPBES;Summary for policymakers of the global assessment report onbiodiversity and ecosystem services of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services;;2019
16; D LeclÃ¨re; M. Obersteiner; M. Barrett S. H. M. Butchart A. Chaudhary A. DePalma F. A. J. DeClerck M. Di Marco J. C. Doelman M. DÃ¼rauer R. Freeman M. Harfoot T. Hasegawa S. Hellweg J. P. Hilbers S. L. L. Hill F. HumpenÃ¶der N. Jennings T. Krisztin G. M. Mace H. Ohashi A. Popp A. Purvis A. M. Schipper A. Tabeau H. Valin H. van Meijl W.-J. van Zeist P. Visconti R. Alkemade R. Almond G. Bunting N. D. Burgess S. E. Cornell F. Di Fulvio S. Ferrier S. Fritz S. Fujimori M. Grooten T. Harwood P. HavlÃ­k M. Herrero A. J. Hoskins M. Jung T. Kram H. Lotze-Campen T. Matsui C. Meyer D. Nel T. Newbold G. Schmidt-Traub E. Stehfest B. B. N. Strassburg D. P. van Vuuren C. Ware J. E. M. Watson W. Wu L. Young Bending the curve of terrestrial biodiversity needs an integrated strategy. Nature 585 551â€“556 ;2020
17; E Dinerstein; C. Vynne; E. Sala A. R. Joshi S. Fernando T. E. Lovejoy J.Mayorga D. Olson G. P. Asner J. E. M. Baillie N. D. Burgess K. Burkart R. F. Noss Y. P. Zhang A. Baccini T. Birch N. Hahn L. N. Joppa E. Wikramanayake A Global Deal for Nature: Guiding principles milestones and targets. Sci. Adv. 5 eaaw2869 ;2019
19; FAO; Mean annual volume increment of selected industrial forest plantation species. Forest Plantation Thematic Papers; Working Paper 1. FAO Rome ;2001
20; G D Gann et al; International principles and standards for the practice of ecological restoration. Second edition. Restor. Ecol. 27; S1â€“S46 ;2019
21; L Gibson; T. M. Lee; L. P. Koh B. W. Brook T. A. Gardner J. Barlow C. A. Peres C. J. A. Bradshaw W. F. Laurance T. E. Lovejoy N. S. Sodhi Primary forests are irreplaceable for sustaining tropical biodiversity. Nature 478 378â€“381 ;2011
22; R Leemans; Global Holdridge Life Zone Classifications. Digital Raster Data on a 0.5-degree Geographic (lat/long);;
23; L R Holdridge; Life Zone Ecology. pp. 206;;1967
24; J G Pausas; M. P. Austin; Patterns of plant species richness in relation to different environments: An appraisal. J. Veg. Sci. 12 153â€“166 ;2001
25; J S Lefcheck; J. E. K. Byrnes; F. Isbell L. Gamfeldt J. N. Griffin N. Eisenhauer M. J. S. Hensel A. Hector B. J. Cardinale J. E. Duffy Biodiversity enhances ecosystem multifunctionality across trophic levels and habitats. Nat. Commun. 6 6936 ;2015
26; J M Bosch; J. D. Hewlett; A review of catchment experiments to determine the effect of vegetation changes on water yield and evapotranspiration. J. Hydrol.  Amst.;
27; J M Roberts;Plants and water in forests and woodlandsâ€ in Eco-Hydrology: Plants and Water in Terrestrial and Aquatic Environments  A. J. Baird R. L. Wilby Eds.  Routledge London;;1999
28; H C A Brown; F. A. Berninger; M. Larjavaara M. Appiah Above-groundcarbon stocks and timber value of old timber plantations secondary and primary forests in southern Ghana. For. Ecol. Manage. 472 118236 ;2020
29; P H S Brancalion; A. Niamir; E. Broadbent R. Crouzeilles F. S. M. Barros A. M. Almeyda Zambrano A. Baccini J. Aronson S. Goetz J. L. Reid B. B. N. Strassburg S. Wilson R. L. Chazdon Global restoration opportunities in tropical rainforest landscapes. Sci. Adv. 5 eaav3223 ;2019
30; X Feng; B. Fu; S. Piao S. Wang P. Ciais Z. Zeng Y. LÃ¼ Y. Zeng Y. Li X. JiangB. Wu Revegetation in Chinaâ€™s Loess Plateau is approaching sustainable water resource limits. Nat. Clim. Chang. 6 1019â€“1022 ;2016
31; A Paquette; C. Messier; The role of plantations in managing the worldâ€™sforests in the Anthropocene. Front. Ecol. Environ. 8 27â€“34 ;2010
32; F Cubbage; P. Mac Donagh; J. Sawinski JÃºnior R. Rubilar P. Donoso A.Ferreira V. Hoeflich V. M. Olmos G. Ferreira G. Balmelli J. Siry M. N. BÃ¡ez J. Alvarez Timber investment returns for selected plantations and native forests in South America and the southern United States. New For. 33 237â€“ 255 ;2007
33; A E Lugo; Comparison of tropical tree plantations with secondary forests of similar age. Ecol. Monogr. 62; 1â€“41 ;1992
34; R L Chazdon; M. Uriarte; Natural regeneration in the context of large-scaleforest and landscape restoration in the tropics. Biotropica 48 709â€“715 ;2016
35; J Kanowski; C. P. Catterall; Carbon stocks in above-ground biomass of monoculture plantations mixed species plantations and environmental restoration plantings in north-east Australia. Ecol. Manage. Restor. 11 119â€“ 126 ;2010
36; R L Chazdon; D. A. Falk; L. F. Banin M. Wagner S. Wilson R. C. GrabowskiK. N. Suding The intervention continuum in restoration ecology: Rethinking the activeâ€“passive dichotomy. Restor. Ecol. â€¢â€¢â€¢ 1â€“13 ;2021
37; C O Delang; Z. Yuan; Chinaâ€™s Grain for Green Program  Springer International Publishing;2015
38; NFGA;National Forestry and Grassland Administration;;
39; S A Berkessy; B. A. Wintle; Using carbon investment to grow the biodiversity bank. Conserv. Biol. 22 510â€“513 ;2008
40; C E Oyarzun; Land use  hydrological properties and soil erodibilities in the Biol.-Biol. river basin central Chile. Mt. Res. Dev. 15 331â€“338 ;;1995
41; E Vadell; S. De-Miguel; J. PemÃ¡n Large-scale reforestation and afforestationpolicy in Spain: A historical review of its underlying ecological socioeconomic and political dynamics. Land Use Policy 55 37â€“48 ;2016
42; J Naime; F. Mora; M. SÃ¡nchez-MartÃ­nez F. Arreola P. Balvanera Economic valuation of ecosystem services from secondary tropical forests: Trade-offs and implications for policy making. For. Ecol. Manage. 473 118294 ;2020
43; P H S Brancalion; N. T. Amazonas; R. L. Chazdon J. Melis R. R. Rodrigues C.C. Silva T. B. Sorrini K. D. Holl Exotic eucalypts: From demonized trees to allies of tropical forest restoration? J. Appl. Ecol. 57 55â€“66 ;2020
44; M G Betts; B. T. Phalan; C. Wolf S. C. Baker C. Messier K. J. Puettmann R.Green S. H. Harris D. P. Edwards D. B. Lindenmayer A. Balmford Producing wood at least cost to biodiversity: Integrating Triad and sharing-sparing approaches to inform forest landscape management. Biol. Rev. Camb. Philos. Soc. 96 1301â€“1317 ;2021
45; C Liao; Y. Luo; C. Fang B. Li Ecosystem carbon stock influenced by plantation practice: Implications for planting forests as a measure of climate change mitigation. PLOS ONE 5 e10867 ;2010
46; R A Zahawi; J. L. Reid; K. D. Holl Hidden costs of passive restoration. Restor. Ecol. 22 284â€“287 ;2014
47; E A Coleman; B. Schultz; V. Ramprasad H. Fischer P. Rana A. M. Filippi B.GÃ¼neralp A. Ma C. Rodriguez Solorzano V. Guleria R. Rana F. Fleischman Limited effects of tree planting on forest canopy cover and rural livelihoods in Northern India. Nat. Sustain. 4 997â€“1004 ;2021
48; J B Socolar; J. J. Gilroy; W. E. Kunin D. P. Edwards How should beta-diversity inform biodiversity conservation? Trends Ecol. Evol. 31 67â€“80 ;2016
49; B B N Strassburg; A. Iribarrem; H. L. Beyer C. L. Cordeiro R. Crouzeilles C.C. Jakovac A. Braga Junqueira E. Lacerda A. E. Latawiec A. Balmford T. M. Brooks S. H. M. Butchart R. L. Chazdon K. H. Erb P. Brancalion G. Buchanan D. Cooper S. DÃ­az P. F. Donald V. Kapos D. LeclÃ¨re L. Miles M. Obersteiner C. Plutzar C. A. de M Scaramuzza F. R. Scarano P. Visconti Global priority areas for ecosystem restoration. Nature 586 724â€“729 ;2020
50; F P L Melo; L. Parry; P. H. S. Brancalion S. R. R. Pinto J. Freitas A. P.ManhÃ£es P. Meli G. Ganade R. L. Chazdon Adding forests to the waterâ€“ energyâ€“food nexus. Nat. Sustain. 4 85â€“92 ;2021
51; FAO;Global Forest Resources Assessment;;2020
52; The Bonn Challenge;" https://www.bonnchallenge.org.		";;
53; Z H Tan; Y.-P. Zhang; Q.-H. Song W.-J. Liu X.-B. Deng J.-W. Tang Y. Deng  W.-J. Zhou L.-Y. Yang G.-R. Yu X.-M. Sun N.-S. Liang Rubber plantations act as water pumps in tropical China. Geophys. Res. Lett. 38 n/a ;2011
54; A RÃ¶ll; F. Niu; A. Meijide J. Ahongshangbam M. Ehbrecht T. Guillaume D. Gunawan A. Hardanto Hendrayanto D. Hertel M. M. Kotowska H. Kreft Y. Kuzyakov C. Leuschner M. Nomura A. Polle K. Rembold J. Sahner D. Seidel D. C. Zemp A. Knohl D. HÃ¶lscher Transpiration on the rebound in lowland Sumatra. Agric. For. Meteorol. 274 160â€“171 ;2019
55; D Piotto; D. Craven; F. Montagnini F. Alice Silvicultural and economic aspects of pure and mixed native tree species plantations on degraded pasturelands in humid Costa Rica. New For. 39 369â€“385 ;2010
56; J S Powers; J. P. Haggar; R. F. Fisher The effect of overstory composition on understory woody regeneration and species richness in 7-year-old plantations in Costa Rica. For. Ecol. Manage. 99 43â€“54 ;1997
57; R Crouzeilles; M. S. Ferreira; R. L. Chazdon D. B. Lindenmayer J. B. B. Sansevero L. Monteiro A. Iribarrem A. E. Latawiec B. B. N. Strassburg Ecological restoration success is higher for natural regeneration than for active restoration in tropical forests. Sci. Adv. 3 e1701345 ;2017
58; S T Buckland; A. C. Studeny; A. E. Magurran J. B. Illian S. E. Newson The geometric mean of relative abundance indices: A biodiversity measure with a difference. Ecosphere 2 art100 ;2011
59; J Loh; R. E. Green; T. Ricketts J. Lamoreux M. Jenkins V. Kapos J. Randers The Living Planet Index: Using species population time series to track trends in biodiversity. Philos. Trans. R. Soc. Lond. B Biol. Sci. 360 289â€“295 ;2005
