;doi;publisher;title;url
1;10.1111/j.1526-100x.2009.00627.x;Wiley;Early Trajectories of Spontaneous Vegetation Recovery after Intensive Agricultural Land Use;https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1526-100X.2009.00627.x
1;10.1111/j.1365-2745.2010.01711.x;Wiley;Unexpected understorey community development after 30 years in ancient and post‐agricultural forests;https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2745.2010.01711.x
1;10.1007/s10531-010-9779-z;Springer Science and Business Media LLC;The high value of logged tropical forests: lessons from northern Borneo;http://link.springer.com/content/pdf/10.1007/s10531-010-9779-z.pdf
1;10.1017/s0266467411000149;Cambridge University Press (CUP);Below-ground secondary succession in tropical forests of Borneo;https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0266467411000149
1;10.1016/j.foreco.2012.01.019;Elsevier BV;Do eucalypt plantations provide habitat for native forest biodiversity?;https://api.elsevier.com/content/article/PII:S0378112712000291?httpAccept=text/xml
1;10.18227/2177-4307.acta.v15i37.3318;Universidade Federal de Roraima;PRESSÃO URBANA NA ÁREA DE PROTEÇÃO AMBIENTAL RAIMUNDO IRINEU SERRA (APARIS), CIDADE DE RIO BRANCO, ACRE, BRASIL;https://revista.ufrr.br/actageo/article/download/3318/3310
1;10.1016/j.agee.2010.02.002;Elsevier BV;Functional response traits in relation to land use change in the Montado;https://api.elsevier.com/content/article/PII:S0167880910000368?httpAccept=text/xml
1;10.1007/s10531-006-9075-0;Springer Science and Business Media LLC;Impacts of El Niño related drought and forest fires on sun bear fruit resources in lowland dipterocarp forest of East Borneo;http://link.springer.com/content/pdf/10.1007/s10531-006-9075-0.pdf
1;10.1111/j.1365-2664.2012.02218.x;Wiley;Do time‐lagged extinctions and colonizations change the interpretation of buffer strip effectiveness? – a study of riparian bryophytes in the first decade after logging;https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2664.2012.02218.x
1;10.1016/j.biocon.2011.11.008;Elsevier BV;Understory plant species and functional diversity in the degraded wet tropical forests of Kolombangara Island, Solomon Islands;https://api.elsevier.com/content/article/PII:S0006320711004228?httpAccept=text/xml
1;10.1111/j.1744-7429.2009.00517.x;Wiley;Rapid Recovery of Biomass, Species Richness, and Species Composition in a Forest Chronosequence in Northeastern Costa Rica;https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1744-7429.2009.00517.x
1;10.1007/s10531-012-0280-8;Springer Science and Business Media LLC;Macrofungal diversity in Colombian Amazon forests varies with regions and regimes of disturbance;http://www.springerlink.com/index/pdf/10.1007/s10531-012-0280-8
1;10.1016/j.foreco.2012.06.004;Elsevier BV;Primary tree species diversity in secondary fallow forests of Laos;https://api.elsevier.com/content/article/PII:S0378112712003246?httpAccept=text/xml
1;10.1016/j.baae.2007.06.014;Elsevier BV;Disturbance effects on diversity of epiphytes and moths in a montane forest in Ecuador;https://api.elsevier.com/content/article/PII:S1439179107000692?httpAccept=text/xml
1;10.17528/cifor/001021;Center for International Forestry Research (CIFOR);Exploring biological diversity, environment and local people&amp;
1;10.1023/a:1008831600795;Springer Science and Business Media LLC;The effect of land-use on the local distribution of palm species in an Andean rain forest fragment in northwestern Ecuador;http://link.springer.com/content/pdf/10.1023/A:1008831600795.pdf
