_id;Source_ID;Reference;BibTeX_reference;Title;Year;Type;Journal;Authors;DOI;Volume;Issue;Pages;Editors;Book_title;URL;Institution;Location;Thesis_type
1;DL1_2008__Aben;Aben et al. 2008;AbenEtAl2008;Human disturbance affects a deciduous forest bird community in the Andean foothills of central Bolivia;2008;Journal Article;Bird Conservation International;Aben, Job;;;;;;;;;;
2;MJ1_2013__Adum;Adum et al. 2013;AdumEtAl2013;Two-stage recovery of amphibian assemblages following selective logging of tropical forests;2013;Journal Article;Conservation Biology;Adum, G. B.;;;;;;;;;;
3;DL1_2009__Barquero;Aguilar-Barquero and JimÃ©nez-HernÃ¡ndez 2009;AguilarBarqueroAndJimenezHernandez2009;Diversidad y distribuciÃ³n de palmas (Arecaceae) en tres fragmentos de bosque muy hÃºmedo en Costa Rica;2009;Journal Article;Revista de BiologÃ­a Tropical;Aguilar-Barquero, Virginia;;;;;;;;;;
4;VK1_2013__ABMIboreal;Alberta Biodiversity Monitoring Institute (ABMI) 2013;AlbertaBiodiversityMonitoringInstituteAbmi2013;The raw soil arthropods dataset and the raw trees & snags dataset from Prototype Phase (2003-2006) and Rotation 1 (2007-2012);2013;Dataset;;Alberta Biodiversity Monitoring Institute (ABMI);;;;;;;http://www.abmi.ca;Alberta Biodiversity Monitoring Institute (ABMI);Alberta, Canada;
5;SH1_2010__Albertos;Albertos et al. 2005;AlbertosEtAl2005;A survey of the epiphytic bryophyte flora in the northwest of the Iberian Peninsula;2005;Journal Article;Cryptogamie;Albertos, B.;;;;;;;;;;
6;JD1_2004__Alcala;Alcala et al. 2004;AlcalaEtAl2004;Amphibians and reptiles in tropical rainforest fragments on Negros Island, the Philippines;2004;Journal Article;Environmental Conservation;Alcala, E. L.;;;;;;;;;;
7;DL1_2013__Alcayaga;Alcayaga et al. 2013;AlcayagaEtAl2013;Spiders (Arachnida, Araneae) associated to agroecosystems in the Elqui Valley (Coquimbo Region, Chile);2013;Journal Article;Revista Colombiana de EntomologÃ­a;Alcayaga, Oscar E.;;;;;;;;;;
8;KS1_2012__Alguacil;Alguacil et al. 2012;AlguacilEtAl2012;Changes in the diversity of soil arbuscular mycorrhizal fungi after cultivation for biofuel production in a Guantanamo (Cuba) tropical system;2012;Journal Article;PLOS ONE;Alguacil, Maria del Mar;;;;;;;;;;
9;SC1_2013__Alignier;Alignier and Deconchat 2013;AlignierAndDeconchat2013;Patterns of forest vegetation responses to edge effect as revealed by a continuous approach;2013;Journal Article;Annals of Forest Science;Alignier, Audrey;;;;;;;;;;
10;HP1_2004__Ancrenaz;Ancrenaz et al. 2004;AncrenazEtAl2004;Determination of ape distribution and population size using ground and aerial surveys: a case study with orang-utans in lower Kinabatangan, Sabah, Malaysia;2004;Journal Article;Animal Conservation;Ancrenaz, M.;;;;;;;;;;
