stage;(Varios elementos);;;
;;;;
Promedio de richness;Etiquetas de columna;;;
Etiquetas de fila;others;protection;restoration;Total general
0;37;;;37
1;13.23809524;12.26666667;41;13.59459459
1.5;14.33333333;;;14.33333333
2;9.233333333;9.666666667;;9.333333333
3;11.5483871;16.90909091;;13.77358491
4;18.07142857;13.6;87;18.13333333
5;18.92307692;7.25;;14.96610169
5.5;9;;;9
6;16.375;11.5;;15.4
6.5;8;;;8
7;28;;;28
7.5;;5;;5
8;22.6;7;;20
8.5;20.16666667;;71;24.07692308
9;30.75;;;30.75
10;27.38095238;3.5;101.5;31.4
10.5;86.30769231;;;86.30769231
11;24.33333333;9.5;94;35.3
11.5;;;;
12;20.36363636;6;;18.15384615
12.5;56.66666667;;;56.66666667
13;23;38.66666667;86;42.625
14;31.25;20;;27.5
15;16.81818182;8.666666667;11;14.5625
16;92;;21;44.66666667
17;57.25;12;24;52.39130435
17.5;4.666666667;18;;5.692307692
18;52.07407407;12.5;27;47.90322581
19;39.25;;32;37.8
20;23.82608696;8.272727273;28;19.30555556
21;69;31;;38.6
22;35;;;35
22.5;;;;
23;28.88888889;23.25;;27.15384615
24;79.5;;;79.5
24.5;;24.57142857;;24.57142857
25;14.9;16.2;;15.16
27;79;;;79
27.5;;7;;7
30;20.8;17;35;21.89473684
31;12;45.33333333;;32
34;82;;;82
34.5;;22.125;;22.125
35;75.33333333;19.66666667;;47.5
36;;82;;82
37;26.5;21.5;;24.83333333
37.5;;4;;4
40;27.05263158;7.285714286;;18.66666667
41;13;;;13
42;85.33333333;;;85.33333333
44;22;;;22
44.5;;24.83333333;;24.83333333
47.5;;;;
50;44.38461538;;;44.38461538
52;30;;;30
52.5;44;;;44
53;5;;;5
54;12;;;12
60;21.73076923;18;;21.46428571
68;28;;;28
70;23;7.357142857;;13.47826087
77;27;;;27
79.5;19;;;19
80;42.85714286;;;42.85714286
90;10;;;10
99.5;18;;;18
100;17.625;7.642857143;;11.27272727
112;9.5;;;9.5
119.5;15;;;15
120;34.5;;;34.5
126;88.61538462;;;88.61538462
129;9;;;9
133;9;;;9
134;11.5;;;11.5
139.5;9;;;9
147;14.51282051;;;14.51282051
150;5.666666667;;;5.666666667
250;;;;
Total general;26.75166667;15.32034632;46.90909091;24.17584994
