id;database;id_comm;id_study;id_study_ori;citation;study;site;plot;id_comm_source;exact_lat;exact_long;age;age_ori;study_year;temp_persp_class2;stage;study_common_taxon;organism_threshold;metric;metric_source;aggregated_data;sampling_method;sampling_effort_within;sampling_effort_among;n_comm;n_comm_available;effort_ori;historic_impact;predisturbances;disturbance1_age;disturbance2;n_disturbances;current_impact;notes;priority;country;study_common_taxon_clean;study_common_taxon_strgroup;disturbance1_age_clean;disturbance2_clean;predisturbances_clean;current_impact_clean;postdisturbance;restoration;protection;use;recovering_cond;coord_accuracy;taxon_level;richness_study;richness;abund;shannon;PD;SR;error_class;lat;lon
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p1_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p1_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p1;NA;p1;51.12;3.22;2;2;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;13;36.14;1.83578989520924;741.458122;10;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p10_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p10_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p10;NA;p10;51.12;3.24;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;8;98.97;2.07829627703311;814.298105;8;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p11_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p11_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p11;NA;p11;51.12;3.23;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;7;100.01;2.30312376278453;668.569884;7;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p12_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p12_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p12;NA;p12;51.12;3.23;1;1;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;productive grassland;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;animal farming;protection;NA;NA;none;0;1;none;protection;community;species;92;9;100;2.14879008287763;823.361969;9;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p13_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p13_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p13;NA;p13;51.12;3.24;5;5;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;11;3.28;1.97422836600863;842.8808338;9;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p14_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p14_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p14;NA;p14;51.12;3.24;5;5;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;7;80.1;1.13921803350939;636.054854;6;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p15_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p15_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p15;NA;p15;51.12;3.24;5;5;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;8;5.56;1.79771071581728;646.698456;6;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p16_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p16_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p16;NA;p16;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;16;53.69;2.86918516807602;954.461839;13;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p17_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p17_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p17;NA;p17;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;13;26.1;2.96230597869907;610.0192;10;0.130434782608696;51.12;3.24
PR_Baeten et al. 2010_Baeten Belgium vegetation recovery_p18_NA;PR;Baeten et al. 2010_Baeten Belgium vegetation recovery_p18_NA;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;PR_Baeten et al. 2010_Baeten Belgium vegetation recovery;Baeten et al. 2010;Baeten Belgium vegetation recovery;p18;NA;p18;51.12;3.24;3;3;2006;exact;recovering;woody and herbaceous;presence;abundance;diameter stem base for woody and percent cover for herbaceous. Joint results are in percentaje cover;no;fixed plots/quadrats;1;NA;1;71;1;deforestation and reforestation phases. 4.4% remaining forest cover;NA;intensive maize crop;bought for passive restoration;1;NA;Plots are aggregated but we do not know how;NA;Belgium;vascular plants;mix;cultivation;protection;NA;NA;none;0;1;none;protection;community;species;92;21;78.2;2.92229095576157;1073.556722;18;0.130434782608696;51.12;3.24
