"id";"id_comm";"id_study";"taxon_level";"taxon_ori";"rank";"error_ident";"error_class";"measurement";"metric";"taxon_clean";"unidentified";"count0";"count"
"150000";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Saurauia pentapetala";"species";0.027027027027027;0.0404624277456647;0;"frequency";"Saurauia pentapetala";FALSE;2;2
"150001";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Saurauia reinwardtiana";"species";0.027027027027027;0.0404624277456647;0;"frequency";"Saurauia reinwardtiana";FALSE;2;2
"150002";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Saurauia sp.";"genus";0.027027027027027;0.0404624277456647;0;"frequency";"Saurauia sp";FALSE;2;2
"150003";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Schefflera farinosa";"species";0.027027027027027;0.0404624277456647;0;"frequency";"Schefflera farinosa";FALSE;2;2
"150004";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Schefflera singalangensis";"species";0.027027027027027;0.0404624277456647;0;"frequency";"Schefflera singalangensis";FALSE;2;2
"150005";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Schismatoglottis calyptrata";"species";0.027027027027027;0.0404624277456647;1;"frequency";"Schismatoglottis calyptrata";FALSE;2;2
"150006";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Schismatoglottis sp.";"genus";0.027027027027027;0.0404624277456647;0;"frequency";"Schismatoglottis sp";FALSE;2;2
"150007";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Schizaea dichotoma";"species";0.027027027027027;0.0404624277456647;0;"frequency";"Schizaea dichotoma";FALSE;2;2
"150008";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Schizaea digitata";"species";0.027027027027027;0.0404624277456647;0;"frequency";"Schizaea digitata";FALSE;2;2
"150009";"Sheil et al. 2002_CIFOR_Indonesia_herbs_62_NA";"PR_Sheil et al. 2002_CIFOR_Indonesia_herbs";"species";"Schizostachyum sp.1";"species";0.027027027027027;0.0404624277456647;0;"frequency";"Schizostachyum sp 1";TRUE;3;3
