taxon_clean;taxon_ori;kingdom;phylum;class;order;family;genus;IsGymnosperm
;1;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
2;2;No identified;No identified;No identified;No identified;No identified;No identified;No identified
3;3;No identified;No identified;No identified;No identified;No identified;No identified;No identified
4;4;No identified;No identified;No identified;No identified;No identified;No identified;No identified
5;5;No identified;No identified;No identified;No identified;No identified;No identified;No identified
6;6;No identified;No identified;No identified;No identified;No identified;No identified;No identified
7;7;No identified;No identified;No identified;No identified;No identified;No identified;No identified
8;8;No identified;No identified;No identified;No identified;No identified;No identified;No identified
9;9;No identified;No identified;No identified;No identified;No identified;No identified;No identified
0;10;No identified;No identified;No identified;No identified;No identified;No identified;No identified
;11;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Myxopyrum;No
2;12;No identified;No identified;No identified;No identified;No identified;No identified;No identified
3;13;No identified;No identified;No identified;No identified;No identified;No identified;No identified
4;14;No identified;No identified;No identified;No identified;No identified;No identified;No identified
5;15;No identified;No identified;No identified;No identified;No identified;No identified;No identified
6;16;No identified;No identified;No identified;No identified;No identified;No identified;No identified
7;17;No identified;No identified;No identified;No identified;No identified;No identified;No identified
8;18;No identified;No identified;No identified;No identified;No identified;No identified;No identified
9;19;No identified;No identified;No identified;No identified;No identified;No identified;No identified
20;20;No identified;No identified;No identified;No identified;No identified;No identified;No identified
2;21;No identified;No identified;No identified;No identified;No identified;No identified;No identified
22;22;No identified;No identified;No identified;No identified;No identified;No identified;No identified
23;23;No identified;No identified;No identified;No identified;No identified;No identified;No identified
24;24;No identified;No identified;No identified;No identified;No identified;No identified;No identified
25;25;No identified;No identified;No identified;No identified;No identified;No identified;No identified
26;26;No identified;No identified;No identified;No identified;No identified;No identified;No identified
27;27;No identified;No identified;No identified;No identified;No identified;No identified;No identified
28;28;No identified;No identified;No identified;No identified;No identified;No identified;No identified
29;29;No identified;No identified;No identified;No identified;No identified;No identified;No identified
30;30;No identified;No identified;No identified;No identified;No identified;No identified;No identified
3;31;No identified;No identified;No identified;No identified;No identified;No identified;No identified
32;32;No identified;No identified;No identified;No identified;No identified;No identified;No identified
33;33;No identified;No identified;No identified;No identified;No identified;No identified;No identified
34;34;No identified;No identified;No identified;No identified;No identified;No identified;No identified
35;35;No identified;No identified;No identified;No identified;No identified;No identified;No identified
36;36;No identified;No identified;No identified;No identified;No identified;No identified;No identified
37;37;No identified;No identified;No identified;No identified;No identified;No identified;No identified
38;38;No identified;No identified;No identified;No identified;No identified;No identified;No identified
39;39;No identified;No identified;No identified;No identified;No identified;No identified;No identified
40;40;No identified;No identified;No identified;No identified;No identified;No identified;No identified
4;41;No identified;No identified;No identified;No identified;No identified;No identified;No identified
42;42;No identified;No identified;No identified;No identified;No identified;No identified;No identified
43;43;No identified;No identified;No identified;No identified;No identified;No identified;No identified
44;44;No identified;No identified;No identified;No identified;No identified;No identified;No identified
45;45;No identified;No identified;No identified;No identified;No identified;No identified;No identified
46;46;No identified;No identified;No identified;No identified;No identified;No identified;No identified
47;47;No identified;No identified;No identified;No identified;No identified;No identified;No identified
48;48;No identified;No identified;No identified;No identified;No identified;No identified;No identified
49;49;No identified;No identified;No identified;No identified;No identified;No identified;No identified
50;50;No identified;No identified;No identified;No identified;No identified;No identified;No identified
5;51;No identified;No identified;No identified;No identified;No identified;No identified;No identified
52;52;No identified;No identified;No identified;No identified;No identified;No identified;No identified
53;53;No identified;No identified;No identified;No identified;No identified;No identified;No identified
54;54;No identified;No identified;No identified;No identified;No identified;No identified;No identified
55;55;No identified;No identified;No identified;No identified;No identified;No identified;No identified
56;56;No identified;No identified;No identified;No identified;No identified;No identified;No identified
57;57;No identified;No identified;No identified;No identified;No identified;No identified;No identified
58;58;No identified;No identified;No identified;No identified;No identified;No identified;No identified
59;59;No identified;No identified;No identified;No identified;No identified;No identified;No identified
60;60;No identified;No identified;No identified;No identified;No identified;No identified;No identified
6;61;No identified;No identified;No identified;No identified;No identified;No identified;No identified
