"Taxon","Kingdom","Phylum","Class","Order","Family","Genus","Is Gymnosperm"
"Agrostis canina","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","No"
"Agrostis capillaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","No"
"Alnus glutinosa","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","No"
"Betula pubescens","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","No"
"Calamagrostis canescens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","No"
"Calluna vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Calluna","No"
"Cardamine flexuosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","No"
"Cardamine pratensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","No"
"Carex nigra","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","No"
"Carex pilulifera","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","No"
"Carex remota","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","No"
"Carex spp 1","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Carex spp 2","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Carex spp 3","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
"Carex sylvatica","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","No"
"Centaurium erythraea","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Centaurium","No"
"Chenopodium polyspermum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Lipandra","No"
"Cirsium arvense","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","No"
"Cirsium palustre","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","No"
"Conyza canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron","No"
"Deschampsia cespitosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Deschampsia","No"
"Digitalis purpurea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Digitalis","No"
"Epilobium ciliatum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","No"
"Epilobium montanum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","No"
"Eupatoriumorium cannabinum","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Euonymus","No"
"Eupatoriumorium cannabinum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","No"
